Granularidade m,Cenário,Tamanho Vetor,Tempo de Resposta
100,A,1000,3109.0
100,A,10000,8146.0
100,A,25000,23749.0
100,A,50000,42182.0
1000,A,1000,1884.0
1000,A,10000,5236.0
1000,A,25000,21712.0
1000,A,50000,41569.0
5000,A,1000,1866.0
5000,A,10000,4956.0
5000,A,25000,21989.0
5000,A,50000,40875.0
10000,A,1000,2043.0
10000,A,10000,5192.0
10000,A,25000,21286.0
10000,A,50000,41172.0
20000,A,1000,1973.0
20000,A,10000,4735.0
20000,A,25000,22026.0
20000,A,50000,40726.0
30000,A,1000,2622.0
30000,A,10000,11293.0
30000,A,25000,31284.0
30000,A,50000,56514.0
40000,A,1000,3276.0
40000,A,10000,17461.0
40000,A,25000,36213.0
40000,A,50000,82042.0
100,B,1000,2380.0
100,B,10000,8155.0
100,B,25000,22427.0
100,B,50000,41706.0
1000,B,1000,1423.0
1000,B,10000,5256.0
1000,B,25000,21304.0
1000,B,50000,41579.0
5000,B,1000,1520.0
5000,B,10000,5144.0
5000,B,25000,21138.0
5000,B,50000,41864.0
10000,B,1000,1812.0
10000,B,10000,6412.0
10000,B,25000,21258.0
10000,B,50000,39798.0
20000,B,1000,1884.0
20000,B,10000,15818.0
20000,B,25000,37240.0
20000,B,50000,79238.0
30000,B,1000,2832.0
30000,B,10000,10057.0
30000,B,25000,32554.0
30000,B,50000,93701.0
40000,B,1000,6214.0
40000,B,10000,13206.0
40000,B,25000,78009.0
40000,B,50000,74850.0
